country_code,country_name_en,country_name_ko,korea_visa_free_days,korea_entry_type,nomad_visa_available,nomad_visa_name,nomad_visa_income_req_usd,nomad_visa_fee_usd,nomad_visa_duration_months,nomad_visa_renewable,tourist_visa_notes,source_notes,last_verified,schengen,ees_applicable,buffer_zone,tax_residency_days,double_tax_treaty_with_kr,cost_tier,mid_term_rental_available,key_docs,tax_note,income_period,income_tiers_note,official_source_url
ALB,Albania,알바니아,90,무비자,Y,Unique Permit (원격근무 허가),820,확인필요,12,Y,한국인 무비자 90일 (쌍무 협약),"연 $9,800 (~$817/월) 자립 증명; 비자 수수료 상호주의; 온라인 신청 가능; Type D 장기비자 → 거주허가; EU 솅겐 비가입 (EU 가입 후보국)",2026-03-31,N,N,Y,183,N,low,Y,유효 여권 (입국 시 자동 허가); 소득 증빙 불필요 (공식 요구 없음); 숙박 증빙 (선택),비거주자 현지 소득세 없음. 외국 소득 비과세,monthly,,https://e-albania.al
ARE,UAE (Dubai),아랍에미리트 (두바이),90,무비자,Y,Virtual Working Programme (VWP),3500,600,12,Y,한국인 무비자 30일 (연장 60일 가능),"월 $3,500 이상; 기본 신청비 $101 (UAE 외부) 또는 $334 (내부); 의료검사 $85~270 + Emirates ID $165 별도; 2026년 4월 1일부터 은행 잔고 명세 6개월 요구 (기존 3개월)",2026-04-03,N,N,N,183,N,high,Y,"고용계약서 또는 프리랜서 라이선스 신청서류; 소득 증빙 ($3,500+/월); 건강보험 (UAE 커버)",UAE 소득세 없음 (개인). 세계 최저 세율 국가,monthly,,https://www.mohre.gov.ae
ARG,Argentina,아르헨티나,90,무비자,Y,Digital Nomad Visa,2750,확인필요,6,Y,한국인 무비자 90일,"월 $2,500~3,000; 6개월+6개월 갱신 (총 12개월); 환율 혜택 (블루달러)",,N,N,N,183,N,low,Y,"소득 증빙 (정기 해외 송금 증명 $1,000+); 은행 잔고 증명; 범죄경력증명서 + 아포스티유",외국 소득 비과세 (영토 과세). 페소 환율 변동 주의,monthly,,https://www.migraciones.gov.ar
BGR,Bulgaria,불가리아,90,무비자 (솅겐),Y,Digital Nomad Residence Permit (2025년 12월 도입),2800,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"연 €31,000 평균 소득 요건 (~€2,583/월); 2025년 12월 20일 공식 출시; Visa D → 거주허가 2단계 신청; 솅겐 회원국; 1회 갱신 가능; 솅겐 EES 2026년 4월 10일 발효; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,low,Y,여권; 소득 증빙,확인 필요,확인필요,,https://www.mfa.bg/en
COL,Colombia (Medellín),콜롬비아 (메데진),90,무비자,Y,Colombia Digital Nomad Visa,1100,220,24,Y,한국인 무비자 90일,"최소 소득 COP 4,270,500/월 (~$1,100); 신청비 $52 + 승인 후 $170~230; 최대 2년",,N,N,N,183,N,low,Y,원격근무 고용계약서 또는 프리랜서 계약서; 소득 증빙 ($750+/월); 범죄경력증명서,비거주자 외국 소득 비과세. 영토 과세 원칙,monthly,,https://www.cancilleria.gov.co
CPV,Cape Verde,카보베르데,확인필요,e-Visa 필요 가능성,Y,Remote Working Program,1600,54,12,Y,한국인 관광 입국 조건 확인필요 (e-Visa 필요 가능성),"월 €1,500 (~$1,600) 잔고 증명; 신청비 €20 + 공항 보안료 €34; 6개월+6개월 연장",,N,확인필요,N,183,Y,low,Y,여권; 소득 증빙,확인 필요,확인필요,,https://www.gov.cv
CRI,Costa Rica,코스타리카,90,무비자,Y,Digital Nomad Visa (Rentista/Nómada),3000,100,12,Y,한국인 무비자 90일,"월 $3,000 (부양가족 있으면 $4,000); 신청비 $100; 국내 소득세 면제; 1년 갱신 가능",,N,N,N,183,N,medium,N,"소득 증빙 ($3,000+/월, 공증 필요); 범죄경력증명서 + 아포스티유; 건강보험 (코스타리카 사회보험 또는 동등)",외국 소득 비과세 (영토 과세 원칙),monthly,,https://www.migracion.go.cr
CZE,Czech Republic,체코,90,무비자 (솅겐),N,없음 (솅겐 90일 활용),0,0,3,N,한국인 솅겐 협정 90일/180일,전용 DN 비자 없음; 장기 체류 시 자유직업(Freelance) 비자 또는 사업 비자 고려; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).,2026-04-03,Y,Y,N,183,Y,medium,Y,"체코 무역업 허가증 신청서류 (živnostenský list); 재정 자립 증명 (잔고 €5,000 이상); 숙박 증빙 (임대계약서)",체코 거주자 세율 15% 단일세율. 소득공제 후 실효세율 낮음,monthly,,https://www.mzv.cz
DEU,Germany,독일,90,무비자 (솅겐),N,Freiberufler (프리랜서 비자),확인필요,100,36,Y,한국인 솅겐 협정 90일/180일,전용 DN 비자 없음; 프리랜서(Freiberufler) 비자로 장기 체류 가능; 소득 요건 사안별 상이; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).,2026-04-03,Y,Y,N,183,Y,high,Y,포트폴리오 또는 클라이언트 계약서; 재정 자립 증명 (잔고 증명 또는 소득 증빙); 거주 등록 확인서 (Anmeldung),독일 거주자로 전 세계 소득 과세. 세율 14~45%,monthly,,https://www.make-it-in-germany.com
ESP,Spain (Canary Islands),스페인 (카나리아 제도),90,무비자 (솅겐),Y,Digital Nomad Visa (Ley de Startups),3000,90,36,Y,한국인 솅겐 협정 90일/180일,"€2,763/월 (~$3,000) (2025년 12월 기준); 신청비 €80; 입국 전 신청 시 1년; 내부 신청 시 최대 3년; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,medium,Y,고용계약서 또는 원격근무 증명서; 3개월 급여명세서; 범죄경력증명서 + 아포스티유,베케리아 법: 외국 소득 4년간 24% 단일세율,monthly,,https://www.exteriores.gob.es
EST,Estonia,에스토니아,90,무비자 (솅겐),Y,Digital Nomad Visa,4900,100,12,N,한국인 솅겐 협정 90일/180일,"€4,500/월 (약 $4,900); 12개월 비자; 솅겐 지역 내 자유 이동; 연장 불가; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,N,medium,Y,고용계약서 또는 서비스 계약서 (원격근무 입증); 3개월 급여명세서 또는 인보이스; 숙박 증빙 (임시 주소 확인서),에스토니아 거주자 아닐 시 현지 소득세 없음. e-Residency 별도 신청 가능,monthly,,https://www.politsei.ee/en
GEO,Georgia,조지아,365,무비자 (1년),Y,Remotely from Georgia,2000,0,12,Y,한국인 최대 1년 무비자 체류 (VISA 불필요),"소득 $2,000/월 또는 잔고 $24,000; 신청 수수료 없음; 온라인 신청",,N,N,Y,180,N,low,Y,고용계약서 또는 서비스 계약서; 3개월 급여명세서 또는 인보이스; 여권 (유효기간 6개월 이상),조지아 거주 1년 이상 시 플랫세율 1% 적용 (Virtual Zone 등록 시),monthly,,https://www.geoconsul.gov.ge/en
GRC,Greece,그리스,90,무비자 (솅겐),Y,Greece Digital Nomad Visa,3850,225,12,Y,한국인 솅겐 협정 90일/180일; EES 2026년 4월 10일부터 전자 추적,"2021년 도입; 월 €3,500 소득 요건 (~$3,850); 부양가족 동반 시 +20%; 1년 후 2년 거주허가 갱신 가능; 그리스 체류 시 현지 소득세 없음; 아테네 영사관 신청 필수 (국외 신청); 솅겐 EES 2026년 4월 10일 발효; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,medium,Y,고용계약서 또는 원격근무 증명서; 3개월 급여명세서; 건강보험 (그리스 체류 기간 커버); 범죄경력증명서 + 아포스티유,그리스 체류 시 외국 소득에 현지 세금 없음 (영토 과세 원칙),monthly,"월 €3,500; 배우자 동반 +20%; 자녀 1인당 +15%",https://www.gov.gr/en/sdg/working-in-greece/applying-for-visa/digital-nomad-visa
HRV,Croatia,크로아티아,90,무비자 (솅겐),Y,Croatia Digital Nomad Residence Permit,3600,35,18,N,한국인 솅겐 협정 90일/180일,"€3,295/월 (~$3,600); 거주허가 신청비 약 €35; 18개월 비갱신; 과세 면제; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,N,medium,Y,고용계약서 또는 원격근무 증명서 (영문); 3개월 급여명세서 또는 인보이스; 건강보험 증서 (크로아티아 체류 기간 커버),크로아티아 거주 등록 시 현지 소득세 미적용 (비거주자 기준),monthly,,https://mup.gov.hr
HUN,Hungary,헝가리,90,무비자 (솅겐),Y,White Card (Digital Nomad Residency),3300,120,12,Y,한국인 솅겐 협정 90일/180일,"€3,000/월 (~$3,300); 신청비 €110; 최대 2년 (1회 연장); 온라인/방문 신청 모두 가능; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,medium,Y,고용계약서 또는 프리랜서 계약서 (영문); 소득 증빙 서류; 숙박 증빙 (임대계약서),헝가리 거주자 단일세율 15% (EU 최저 수준),monthly,,https://www.kormany.hu
IDN,Indonesia (Bali),인도네시아 (발리),30,무비자(VOA),Y,E33G Remote Worker Visa (e-Visa),5000,600,12,Y,30일 도착비자; 1회 연장 30일 가능(총 60일); 장기 체류 시 E33G 비자 신청,"E33G 연소득 $60,000 요건; 발리 특화 비자 에이전시 이용 시 $600~1000",,N,N,Y,183,Y,medium,Y,"여권 (유효기간 18개월 이상); 소득 증빙 ($2,000+/월); 귀국 또는 제3국행 항공권",외국 소득에 현지 소득세 미부과 (2024 기준),monthly,,https://molina.imigrasi.go.id
JPN,Japan,일본,90,무비자 (비자 면제),Y,특정활동 디지털 노마드 비자 (Specified Visa),5583,100,6,N,한국인 90일 무비자 입국; 비자 면제 협정 적용,"2024년 4월 도입; 연소득 ¥10,000,000 이상 (~$67,000); 6개월 최대 체류; 갱신 불가; 재신청 시 출국 후 재입국 필요; 이중과세방지협약 보유 국적자만 신청 가능 (한국 포함); 비일본 고용주 대상 원격근무자만 해당",2026-04-03,N,N,N,183,Y,medium,Y,"여권 (유효기간 충분); 소득 증빙 (연 ¥10,000,000 이상); 비일본 고용주와의 고용계약서; 국제 건강보험",비거주자는 일본 원천 소득에만 과세. 외국 소득 비과세,annual,"연소득 ¥10,000,000 (~$67,000) 단일 기준",https://www.mofa.go.jp/ca/fna/pagewe_000001_00046.html
KEN,Kenya,케냐,0,ETA (전자여행허가),Y,Class N Work Permit (Digital Nomad),4583,1200,24,Y,한국인 ETA 필요 ($30~50); 90일 체류 허용; 도착비자 대안 가능,"연 $55,000 이상 소득 요건; 신청비 $200 + 연간 발급비 $1,000; 2024년 10월 도입, 2025년 5월 신청 접수 시작; 케냐 외 소득 필요; 1~2년 유효",2026-03-31,N,확인필요,N,183,Y,low,Y,여권; 소득 증빙,확인 필요,확인필요,,https://immigration.go.ke
MAR,Morocco,모로코,90,무비자,N,없음 (2026년 현재 미출시),0,0,0,N,한국인 무비자 90일,전용 DN 비자 없음; 2025년 도입 예정이었으나 불발; 관광비자로 단기 체류 활용 중; 추후 재발표 가능성 확인필요,2026-03-31,N,N,Y,183,N,low,Y,유효 여권 (입국 시 자동 허가); 소득 증빙 불필요; 귀국 또는 제3국행 항공권 (권장),비거주자 외국 소득 비과세,monthly,,https://www.maroc.ma
MEX,Mexico,멕시코,90,무비자,N,임시거주비자 (Temporary Resident Visa),4300,확인필요,12,Y,한국인 무비자 90일,"전용 DN 비자 없음; 임시거주비자 월 $3,737~4,290 소득 또는 $71,500 잔고; 최대 4년 갱신 가능",,N,N,N,183,N,medium,Y,"소득 증빙 (최근 12개월 평균 $2,590+); 범죄경력증명서 + 공증; 여권 (유효기간 6개월 이상)",멕시코 거주자 외국 소득 과세. 비거주자 멕시코 소득만 과세,monthly,,https://www.inm.gob.mx
MYS,Malaysia,말레이시아,90,무비자,Y,DE Rantau Nomad Pass,2000,220,12,Y,한국인 무비자 90일 (MOU),"테크 분야 $24,000/년 ($2,000/월); 非테크 분야 $60,000/년; 신청비 MYR 1,000 (~$220)",,N,N,N,182,Y,low,Y,여권 (유효기간 18개월 이상); 3개월 이상 소득 증빙 (영문 고용계약서 또는 프리랜서 계약서); 건강보험 증서 (말레이시아 체류 기간 커버),비거주자 — 현지 소득세 없음,monthly,"테크/디지털 직군 $2000/월; 비테크 직군 (CEO, 법무, 회계, PR 등) $5000/월",https://mdec.my/en/derantau
NLD,Netherlands,네덜란드,90,무비자 (솅겐),N,MVV Zelfstandige (자영업 비자),1400,300,36,Y,한국인 솅겐 협정 90일/180일,"전용 DN 비자 없음; 자영업 MVV 월 €1,300 이상; 3년 발급; 네덜란드 생태계 기여 요건; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,high,Y,여권; 소득 증빙,확인 필요,확인필요,,https://ind.nl/en/residence-permits/work/residence-permit-self-employed-person
PAN,Panama,파나마,90,무비자,Y,Short Stay Visa for Remote Workers,3000,300,18,N,한국인 무비자 90일,"월 $3,000 (연 $36,000); 신청비 $250 + 발급비 $50; 9개월+9개월 연장 (총 18개월)",,N,확인필요,N,183,Y,medium,Y,여권; 소득 증빙,확인 필요,확인필요,,https://www.migracion.gob.pa/
PHL,Philippines,필리핀,30,무비자 (연장 가능),Y,"Digital Nomad Visa (EO No. 86, s.2025)",확인필요,확인필요,12,Y,"한국인 관광 목적 무비자 30일(일반 기준), DNV 세부요건 고시 업데이트 확인필요",EO No.86(2025)로 DNV 법적 근거 신설. 최소 소득/수수료 세부 시행규정은 확인필요 (DFA 안내 페이지 및 대통령실 브리핑 기준).,2026-04-03,N,N,Y,180,Y,low,Y,"여권 (유효기간 18개월 이상); 소득 증빙 ($2,000+/월); 왕복 항공권",외국 소득 비과세 (영토 과세),확인필요,확인필요,https://mirror.pco.gov.ph/press-briefing/20250428-malacanang-press-briefing-of-palace-press-officer-and-undersecretary-atty-claire-castro/
PRT,Portugal,포르투갈,90,무비자 (솅겐),Y,D8 Digital Nomad Visa,4000,100,12,Y,한국인 솅겐 협정 90일/180일,D8 비자 최소 €3680/월; 가족 동반 시 50%·30% 추가; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).,2026-04-03,Y,Y,N,183,Y,medium,Y,고용계약서 또는 프리랜서 계약서 공증본; 3개월 급여명세서 영문 번역본; 범죄경력증명서 + 아포스티유,NHR 세제 신청 시 외국 소득 20% 단일세율 10년 적용,monthly,,https://vistos.mne.gov.pt
PRY,Paraguay,파라과이,확인필요,확인필요,N,없음 (확인필요),0,0,0,N,대한민국 여권 입국 조건 확인필요 (최근 공지 재확인 필요),Nomads 2026 데이터에서 Asuncion 급성장 도시로 확인. 전용 DN 비자 정책은 확인필요.,2026-04-03,N,N,N,183,확인필요,low,Y,확인필요,확인필요,N/A,,https://www.migraciones.gov.py
QAT,Qatar,카타르,확인필요,확인필요,N,없음 (확인필요),0,0,0,N,대한민국 여권 입국 조건 확인필요 (입국 규정 수시 변동 가능),Nomads 2026 데이터에서 Doha 성장세 확인. 전용 DN 비자 정책은 확인필요.,2026-04-03,N,N,N,183,확인필요,high,Y,확인필요,확인필요,N/A,,https://visitqatar.com
ROU,Romania,루마니아,90,무비자 (솅겐),Y,Digital Nomad Visa,4000,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"€3,700/월 (~$4,000); 2022년 도입; EU 솅겐 회원국; 솅겐 2024년 12월 가입; EES 2026년 4월 10일 발효; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,low,Y,여권; 소득 증빙,확인 필요,확인필요,,https://evisa.mae.ro/home?lang=en-US
SVN,Slovenia,슬로베니아,90,무비자 (솅겐),Y,Digital Nomad Visa (임시거주허가),3500,확인필요,12,N,한국인 솅겐 협정 90일/180일,"월 €3,200 세후 소득 (~$3,500); 2025년 11월 21일 출시; 갱신 불가 (6개월 후 재신청); EU 솅겐 회원국; 류블랴나 거점; EES 2026년 4월 10일 발효; ETIAS 2026년 4분기 예정; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,N,medium,Y,원격근무 고용계약서 또는 프리랜서 계약서; 3개월 급여명세서; 건강보험 증서,슬로베니아 거주자 소득세 16~50% 누진세율,monthly,,https://www.gov.si
THA,Thailand,태국,90,무비자,Y,Destination Thailand Visa (DTV),0,280,12,Y,한국인 무비자 90일,"DTV: 잔고 500,000THB(약 $15,340) 증명 필요; 1회 입국 180일+연장 180일; 연 2회 비자런 제한(2025년 11월); 2025년 1월 완전 전자비자 전환; 비자 갱신 반복 가능",2026-03-31,N,N,Y,180,Y,low,Y,"고용계약서 또는 사업 증명서류; 자산 증빙 ($1,000,000 이상 또는 카테고리별 요건 충족); 건강보험 (최소 $50,000 커버리지)",LTR 비자 소지 시 외국 소득 비과세,annual,LTR 카테고리별 상이 (Wealthy/Work from Thailand/Highly Skilled),https://ltr.boi.go.th
TWN,Taiwan,대만,90,무비자 (비자 면제),Y,Digital Nomad Visitor Visa,3333,30,24,Y,한국인 90일 무비자 입국,"2026년 1월 8일부터 최대 2년 체류로 연장 (6개월 초기+3회 6개월 연장); 30세 이상 연소득 $40,000 요건; 20~29세 연소득 $20,000 요건; 월 평균 은행 잔고 $10,000 이상 (6개월); 국제 건강보험 필수",2026-04-03,N,N,N,183,확인필요,medium,Y,"여권 (유효기간 6개월 이상); 소득 증빙 (연 $40,000 이상); 은행 잔고 증명 (월 평균 $10,000 이상); 국제 건강보험",비거주자 외국 소득 비과세,annual,"30세 이상 $40,000/년; 20~29세 $20,000/년",https://talent.nat.gov.tw/visa/digital-nomad
URY,Uruguay,우루과이,90,무비자,Y,Digital Nomad Permit,0,10,12,Y,한국인 무비자 90일,최소 소득 요건 없음 (자립 가능 증명); 신청비 ~$10; 12개월 갱신 가능; 남미 안전한 국가,,N,확인필요,N,183,Y,medium,Y,여권; 소득 증빙,확인 필요,확인필요,,https://www.gub.uy/tramites/hoja-identidad-provisoria
VNM,Vietnam,베트남,45,무비자 (연장 가능),N,없음 (e-Visa 90일 활용),0,25,3,N,45일 무비자; e-Visa 90일 ($25); 복수입국 가능; 2028년까지 한국인 무비자 연장 확정,전용 DN 비자 없음; 2025년 4월 골든비자 제안(국회 미통과); 장기 체류 시 반복 입국 활용,2026-03-31,N,N,Y,183,Y,low,Y,여권 (유효기간 6개월 이상); 온라인 신청서; 여권사진,외국 소득 비과세 (단기 체류 기준),monthly,,https://evisa.xuatnhapcanh.gov.vn
