country_code,country_name_en,country_name_ko,korea_visa_free_days,korea_entry_type,nomad_visa_available,nomad_visa_name,nomad_visa_income_req_usd,nomad_visa_fee_usd,nomad_visa_duration_months,nomad_visa_renewable,tourist_visa_notes,source_notes
THA,Thailand,태국,90,무비자,Y,Destination Thailand Visa (DTV),0,280,12,Y,"한국인 무비자 90일; DTV는 월 소득 요건 없이 500,000THB(약 $14,000) 잔고 증명 필요","DTV: 1회 입국 180일+연장 180일(최대 360일); 비자 갱신 반복 가능"
PRT,Portugal,포르투갈,90,무비자 (솅겐),Y,D8 Digital Nomad Visa,4000,100,12,Y,한국인 솅겐 협정 90일/180일,D8 비자 최소 €3680/월; 가족 동반 시 50%·30% 추가
IDN,Indonesia (Bali),인도네시아 (발리),30,무비자(VOA),Y,E33G Remote Worker Visa (e-Visa),5000,600,12,Y,"30일 도착비자; 1회 연장 30일 가능(총 60일); 장기 체류 시 E33G 비자 신청","E33G 연소득 $60,000 요건; 발리 특화 비자 에이전시 이용 시 $600~1000"
GEO,Georgia,조지아,365,무비자 (1년),Y,Remotely from Georgia,2000,0,12,Y,한국인 최대 1년 무비자 체류 (VISA 불필요),"소득 $2,000/월 또는 잔고 $24,000; 신청 수수료 없음; 온라인 신청"
EST,Estonia,에스토니아,90,무비자 (솅겐),Y,Digital Nomad Visa,4900,100,12,N,한국인 솅겐 협정 90일/180일,"€4,500/월 (약 $4,900); 12개월 비자; 솅겐 지역 내 자유 이동; 연장 불가"
MEX,Mexico,멕시코,90,무비자,N,임시거주비자 (Temporary Resident Visa),4300,확인필요,12,Y,한국인 무비자 90일,"전용 DN 비자 없음; 임시거주비자 월 $3,737~4,290 소득 또는 $71,500 잔고; 최대 4년 갱신 가능"
COL,Colombia (Medellín),콜롬비아 (메데진),90,무비자,Y,Colombia Digital Nomad Visa,1100,220,24,Y,한국인 무비자 90일,"최소 소득 COP 4,270,500/월 (~$1,100); 신청비 $52 + 승인 후 $170~230; 최대 2년"
CZE,Czech Republic,체코,90,무비자 (솅겐),N,없음 (솅겐 90일 활용),0,0,3,N,한국인 솅겐 협정 90일/180일,전용 DN 비자 없음; 장기 체류 시 자유직업(Freelance) 비자 또는 사업 비자 고려
HUN,Hungary,헝가리,90,무비자 (솅겐),Y,White Card (Digital Nomad Residency),3300,120,12,Y,한국인 솅겐 협정 90일/180일,"€3,000/월 (~$3,300); 신청비 €110; 최대 2년 (1회 연장); 온라인/방문 신청 모두 가능"
ESP,Spain (Canary Islands),스페인 (카나리아 제도),90,무비자 (솅겐),Y,Digital Nomad Visa (Ley de Startups),3000,90,36,Y,한국인 솅겐 협정 90일/180일,"€2,763/월 (~$3,000) (2025년 12월 기준); 신청비 €80; 입국 전 신청 시 1년; 내부 신청 시 최대 3년"
VNM,Vietnam,베트남,45,무비자 (연장 가능),N,없음 (e-Visa 90일 활용),0,25,3,N,"45일 무비자; e-Visa 90일 ($25); 복수입국 가능; 2028년까지 한국인 무비자 연장 확정","전용 DN 비자 없음; 장기 체류 시 반복 입국 또는 임시거주허가 고려"
MYS,Malaysia,말레이시아,90,무비자,Y,DE Rantau Nomad Pass,2000,220,12,Y,한국인 무비자 90일 (MOU),"테크 분야 $24,000/년 ($2,000/월); 非테크 분야 $60,000/년; 신청비 MYR 1,000 (~$220)"
PHL,Philippines,필리핀,30,무비자 (연장 가능),Y,Digital Nomad Visa (2025 출시),2000,350,24,Y,"한국인 무비자 30일; 비자 없이 최대 36개월까지 연장 가능 (비자오피스 연장)","연소득 $24,000 ($2,000/월); 신청비 $200~500 추정; 2025년 파일럿 프로그램"
HRV,Croatia,크로아티아,90,무비자 (솅겐),Y,Croatia Digital Nomad Residence Permit,3600,35,18,N,한국인 솅겐 협정 90일/180일,"€3,295/월 (~$3,600); 거주허가 신청비 약 €35; 18개월 비갱신; 과세 면제"
DEU,Germany,독일,90,무비자 (솅겐),N,Freiberufler (프리랜서 비자),확인필요,100,36,Y,한국인 솅겐 협정 90일/180일,"전용 DN 비자 없음; 프리랜서(Freiberufler) 비자로 장기 체류 가능; 소득 요건 사안별 상이"
NLD,Netherlands,네덜란드,90,무비자 (솅겐),N,MVV Zelfstandige (자영업 비자),1400,300,36,Y,한국인 솅겐 협정 90일/180일,"전용 DN 비자 없음; 자영업 MVV 월 €1,300 이상; 3년 발급; 네덜란드 생태계 기여 요건"
CRI,Costa Rica,코스타리카,90,무비자,Y,Digital Nomad Visa (Rentista/Nómada),3000,100,12,Y,한국인 무비자 90일,"월 $3,000 (부양가족 있으면 $4,000); 신청비 $100; 국내 소득세 면제; 1년 갱신 가능"
PAN,Panama,파나마,90,무비자,Y,Short Stay Visa for Remote Workers,3000,300,18,N,한국인 무비자 90일,"월 $3,000 (연 $36,000); 신청비 $250 + 발급비 $50; 9개월+9개월 연장 (총 18개월)"
ROU,Romania,루마니아,90,무비자 (솅겐),Y,Digital Nomad Visa,4000,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"€3,700/월 (~$4,000); 2022년 도입; EU 솅겐 회원국"
BGR,Bulgaria,불가리아,90,무비자 (솅겐),Y,Digital Nomad Visa (2025 도입),2700,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"€2,500/월 (~$2,700); 2025년 6월 공식 도입; 솅겐 회원국"
ARG,Argentina,아르헨티나,90,무비자,Y,Digital Nomad Visa,2750,확인필요,6,Y,한국인 무비자 90일,"월 $2,500~3,000; 6개월+6개월 갱신 (총 12개월); 환율 혜택 (블루달러)"
URY,Uruguay,우루과이,90,무비자,Y,Digital Nomad Permit,0,10,12,Y,한국인 무비자 90일,"최소 소득 요건 없음 (자립 가능 증명); 신청비 ~$10; 12개월 갱신 가능; 남미 안전한 국가"
MAR,Morocco,모로코,90,무비자,N,없음 (2025년 도입 예정),0,0,0,N,한국인 무비자 90일,"전용 DN 비자 없음; 도입 계획 발표됨 (2025년); 관광비자로 단기 체류 활용 중"
ARE,UAE (Dubai),아랍에미리트 (두바이),90,무비자,Y,Virtual Working Programme (VWP),3500,600,12,Y,한국인 무비자 30일 (연장 60일 가능),"월 $3,500 이상; 기본 신청비 $101 (UAE 외부) 또는 $334 (내부); 의료검사 $85~270 + Emirates ID $165 별도"
CPV,Cape Verde,카보베르데,확인필요,e-Visa 필요 가능성,Y,Remote Working Program,1600,54,12,Y,"한국인 관광 입국 조건 확인필요 (e-Visa 필요 가능성)","월 €1,500 (~$1,600) 잔고 증명; 신청비 €20 + 공항 보안료 €34; 6개월+6개월 연장"
